image_name,true_label,yolo_prediction,cogvlm_prediction,yolo_correct,cogvlm_correct
OverExposure_9_5.jpg,5.5,未知,"(3, 6)",False,False
Dark_456_5.jpg,5.5,未知,"(2, 1)",False,False
911004001050_20240506_4.jpg,5.5,未知,6,False,False
Dark_399_6.jpg,5.5,未知,234567890,False,False
911003004001_20240601_3.jpg,5.5,未知,5.5,False,True
911004001030_20240715_4.jpg,5.5,未知,5,False,False
911004001022_20240601_045218000_5.jpg,5.5,未知,"(2, 6)",False,False
Dark_106_4.jpg,5.5,未知,8,False,False
911069001012_20240521_3.jpg,5.5,未知,4.5,False,False
911046002141_20240428_4.jpg,5.5,8.0,5,False,False
911004002268_20240524_4.jpg,5.5,未知,5.5,False,True
Dark_691_4.jpg,5.5,未知,"(3, 6)",False,False
Dark_130_5.jpg,5.5,未知,5.5,False,True
Dark_478_5.jpg,5.5,未知,"(0, 0)",False,False
911004001200_20240621_0.jpg,5.5,未知,5.5,False,True
911069001005_20240624_4.jpg,5.5,未知,2.5,False,False
Dark_511_5.jpg,5.5,未知,"(0, 0)",False,False
911004002372_20240427_4.jpg,5.5,0.0,5,False,False
OverExposure_1_5.jpg,5.5,未知,"(3, 6)",False,False
911004001200_20240415_0.jpg,5.5,未知,"(9, 6)",False,False
911069001012_20240623_3.jpg,5.5,未知,5.5,False,True
911004001032_20240429_5.jpg,5.5,未知,"(2, 0)",False,False
911004002372_20240521_4.jpg,5.5,未知,5.5,False,True
OverExposure_310_3.jpg,5.5,未知,6,False,False
Reflective_385_4.jpg,5.5,未知,5.5,False,True
911004001038_20240508_5.jpg,5.5,未知,"(2, 6)",False,False
911004001032_20240502_5.jpg,5.5,未知,"(2, 0)",False,False
911004001040_20240718_4.jpg,5.5,未知,"(3, 6)",False,False
911060001018_20240430_4.jpg,5.5,未知,"(0, 0)",False,False
Mist_371_5.jpg,5.5,未知,3,False,False
911004002152_20240630_1.jpg,5.5,未知,5.5,False,True
911004002148_20240718_0.jpg,5.5,未知,"(3, 6)",False,False
911004001014_20240611_053507000_4.jpg,5.5,未知,5,False,False
911079001111_20240701_4.jpg,5.5,未知,5,False,False
911003004003_20240422_5.jpg,5.5,未知,5.5,False,True
Mist_605_4.jpg,5.5,未知,2.5,False,False
911072001057_20240515_0.jpg,5.5,未知,3,False,False
Mist_280_4.jpg,5.5,10.0,2,False,False
911004001032_20240604_5.jpg,5.5,未知,"(3, 0)",False,False
Mist_254_4.jpg,5.5,未知,"(2, 0)",False,False
Mist_67_5.jpg,5.5,6.0,3.5,False,False
911003004001_20240507_5.jpg,5.5,未知,6,False,False
911004001079_20240609_052023000_3.jpg,5.5,未知,"(3, 0)",False,False
911003004003_20240511_5.jpg,5.5,未知,5.5,False,True
911004002274_20240723_0.jpg,5.5,2.0,5,False,False
Mist_484_4.jpg,5.5,2.0,"(5, 0)",False,False
911004001028_20240511_1.jpg,5.5,未知,"(9, 6)",False,False
911004001079_20240609_3.jpg,5.5,未知,"(3, 0)",False,False
911004001200_20240730_0.jpg,5.5,未知,5,False,False
Dark_105_4.jpg,5.5,未知,3,False,False
Dark_444_5.jpg,5.5,未知,"(3, 5)",False,False
911003004004_20240708_021700000_5.jpg,5.5,未知,"(0, 6)",False,False
911004002311_20240529_1.jpg,5.5,未知,"(2, 5)",False,False
911046002146_20240508_2.jpg,5.5,未知,5.5,False,True
911003001036_20240610_3.jpg,3.5,未知,9,False,False
911004002195_20240710_0.jpg,3.5,未知,3.5,False,True
OverExposure_304_1.jpg,3.5,未知,3.5,False,True
911046002141_20240516_3.jpg,3.5,未知,3.5,False,True
Dark_708_5.jpg,3.5,未知,4,False,False
911004001028_20240628_3.jpg,3.5,未知,3.5,False,True
911003001015_20240710_3.jpg,3.5,未知,3,False,False
911004001030_20240512_5.jpg,3.5,未知,3,False,False
Dark_370_6.jpg,3.5,未知,8,False,False
911004001050_20240701_1.jpg,3.5,未知,"(3, 6)",False,False
911004001079_20240707_4.jpg,3.5,未知,3.5,False,True
911004002271_20240411_2.jpg,3.5,未知,3.5,False,True
911003001015_20240408_4.jpg,3.5,未知,3,False,False
Dark_604_5.jpg,3.5,未知,3.5,False,True
Reflective_90_4.jpg,3.5,未知,4.5,False,False
911083003236_20240508_4.jpg,3.5,未知,3.5,False,True
Dark_714_5.jpg,3.5,未知,7,False,False
Dark_61_5.jpg,3.5,未知,3.5,False,True
911004001018_20240614_5.jpg,3.5,未知,3.5,False,True
Mist_367_5.jpg,3.5,未知,"(1, 3)",False,False
911004001022_20240523_045218000_0.jpg,3.5,未知,3.5,False,True
Dark_693_5.jpg,3.5,未知,1,False,False
OverExposure_277_5.jpg,3.5,未知,2,False,False
911004001030_20240416_012545000_1.jpg,3.5,未知,3.5,False,True
911004001040_20240716_2.jpg,3.5,未知,3,False,False
Dark_754_5.jpg,3.5,未知,3,False,False
Dark_712_5.jpg,3.5,未知,7,False,False
911046002146_20240530_2.jpg,3.5,未知,3.5,False,True
911004002381_20240417_4.jpg,3.5,未知,"(5, 2)",False,False
911004002195_20240723_1.jpg,3.5,未知,3.5,False,True
Reflective_91_4.jpg,3.5,未知,4.5,False,False
Reflective_93_4.jpg,3.5,未知,4.5,False,False
OverExposure_276_5.jpg,3.5,未知,2,False,False
911003004004_20240605_0.jpg,3.5,未知,"(13, 4)",False,False
911003004001_20240615_4.jpg,3.5,10.0,3,False,False
Mist_546_4.jpg,3.5,未知,8,False,False
Reflective_226_5.jpg,3.5,未知,5,False,False
911004001079_20240623_052023000_5.jpg,3.5,6.0,3.5,False,True
911003004003_20240426_5.jpg,3.5,未知,3.5,False,True
OverExposure_13_4.jpg,3.5,未知,0.5,False,False
911004002311_20240420_4.jpg,3.5,未知,3.5,False,True
911004001079_20240705_0.jpg,3.5,未知,"(3, 2)",False,False
Dark_706_5.jpg,3.5,未知,1,False,False
